slurm_job_id,test_case,start_time,end_time,daos_commit,oclass,num_servers,num_targets,num_clients,ppc,fpp,segments,chunk_size,xfer_size,block_size,cont_rf,ec_cell_size,iterations,notes,status,sw_time,write_gib,read_gib
3329714,ior_easy,2021-07-23 17:16:21,2021-07-23 17:23:24,e1da9ff,S64,6,16,16,32,,1,1M,4M,150G,0,1048576,1,,Pass,60,61.16,65.32
3329814,ior_easy,2021-07-23 18:30:40,2021-07-23 18:36:16,e1da9ff,EC_4P2GX,6,16,24,32,,1,4M,4M,150G,2,1048576,1,,Pass,60,39.73,53.38
3329815,ior_easy,2021-07-23 17:19:52,2021-07-23 17:25:35,e1da9ff,EC_4P2GX,6,16,16,32,,1,4M,4M,150G,2,1048576,1,,Pass,60,40.56,55.88
3348428,ior_easy,2021-07-27 23:55:05,2021-07-27 23:58:19,e1da9ff,S64,6,16,24,32,,1,1M,4M,150G,0,1048576,1,"write failed,read failed",Fail,30,0.00,0.00
3329829,ior_easy,2021-07-23 18:30:40,2021-07-23 18:36:20,e1da9ff,EC_8P2GX,10,16,16,32,,1,8M,8M,150G,2,1048576,1,,Pass,60,75.68,72.47
3341155,ior_easy,2021-07-26 12:25:18,2021-07-26 12:28:18,e1da9ff,S128,10,16,16,32,,1,1M,8M,150G,0,1048576,1,"write failed,read failed",Fail,30,0.00,0.00
3329716,ior_easy,2021-07-23 17:19:52,2021-07-23 17:25:40,e1da9ff,S128,12,16,16,32,,1,1M,4M,150G,0,1048576,1,,Pass,60,111.18,126.66
3329811,ior_easy,2021-07-23 18:19:34,2021-07-23 18:25:27,e1da9ff,EC_4P2GX,12,16,16,32,,1,4M,4M,150G,2,1048576,1,,Pass,60,72.93,79.48
3329717,ior_easy,2021-07-23 17:27:13,2021-07-23 17:32:44,e1da9ff,S192,18,16,16,32,,1,1M,4M,150G,0,1048576,1,,Pass,60,154.48,129.74
3329810,ior_easy,2021-07-23 18:25:07,2021-07-23 18:30:43,e1da9ff,EC_4P2GX,18,16,16,32,,1,4M,4M,150G,2,1048576,1,,Pass,60,109.36,117.23
3329836,ior_easy,2021-07-23 18:49:50,2021-07-23 18:55:22,e1da9ff,EC_16P2GX,18,16,16,32,,1,16M,16M,150G,2,1048576,1,,Pass,60,154.01,96.45
3341156,ior_easy,2021-07-26 14:37:18,2021-07-26 14:40:35,e1da9ff,S256,18,16,16,32,,1,1M,16M,150G,0,1048576,1,"write failed,read failed",Fail,30,0.00,0.00
3329831,ior_easy,2021-07-23 18:33:27,2021-07-23 18:38:51,e1da9ff,EC_8P2GX,20,16,16,32,,1,8M,8M,150G,2,1048576,1,,Pass,60,138.10,109.16
3341157,ior_easy,2021-07-26 14:41:31,2021-07-26 14:44:43,e1da9ff,S256,20,16,16,32,,1,1M,8M,150G,0,1048576,1,"write failed,read failed",Fail,30,0.00,0.00
3329720,ior_easy,2021-07-23 17:50:41,2021-07-23 17:56:18,e1da9ff,S256,24,16,16,32,,1,1M,4M,150G,0,1048576,1,,Pass,60,176.18,111.98
3329812,ior_easy,2021-07-23 18:27:53,2021-07-23 18:33:29,e1da9ff,EC_4P2GX,24,16,16,32,,1,4M,4M,150G,2,1048576,1,,Pass,60,115.03,111.17
3329830,ior_easy,2021-07-23 19:06:28,2021-07-23 19:11:53,e1da9ff,EC_8P2GX,30,16,16,32,,1,8M,8M,150G,2,1048576,1,,Pass,60,136.34,110.84
3341159,ior_easy,2021-07-26 14:41:31,2021-07-26 14:44:38,e1da9ff,S384,30,16,16,32,,1,1M,8M,150G,0,1048576,1,"write failed,read failed",Fail,30,0.00,0.00
3329721,ior_easy,2021-07-23 18:13:56,2021-07-23 18:19:31,e1da9ff,S384,36,16,16,32,,1,1M,4M,150G,0,1048576,1,,Pass,60,175.69,144.88
3329813,ior_easy,2021-07-23 18:30:40,2021-07-23 18:36:25,e1da9ff,EC_4P2GX,36,16,16,32,,1,4M,4M,150G,2,1048576,1,,Pass,60,92.83,108.96
3329837,ior_easy,2021-07-23 19:06:28,2021-07-23 19:11:53,e1da9ff,EC_16P2GX,36,16,16,32,,1,16M,16M,150G,2,1048576,1,,Pass,60,152.21,90.95
3341160,ior_easy,2021-07-26 14:41:32,2021-07-26 14:44:43,e1da9ff,S512,36,16,16,32,,1,1M,16M,150G,0,1048576,1,"write failed,read failed",Fail,30,0.00,0.00
3329869,ior_hard,2021-07-23 20:13:09,2021-07-23 20:18:03,e1da9ff,EC_4P2GX,6,16,24,32,,2000000,4M,47008,47008,2,1048576,1,,Pass,60,7.19,39.65
3329870,ior_hard,2021-07-23 17:50:44,2021-07-23 17:55:20,e1da9ff,EC_4P2GX,6,16,16,32,,2000000,4M,47008,47008,2,1048576,1,,Pass,60,7.73,46.97
3329851,ior_hard,2021-07-23 19:06:28,2021-07-23 19:11:54,e1da9ff,S128,10,16,16,32,,2000000,1M,47008,47008,0,1048576,1,,Pass,60,75.12,65.22
3329877,ior_hard,2021-07-23 19:09:11,2021-07-23 19:13:41,e1da9ff,EC_8P2GX,10,16,16,32,,2000000,8M,47008,47008,2,1048576,1,,Pass,60,8.50,64.33
3329871,ior_hard,2021-07-23 20:13:09,2021-07-23 20:17:53,e1da9ff,EC_4P2GX,12,16,16,32,,2000000,4M,47008,47008,2,1048576,1,,Pass,60,13.91,81.84
3329859,ior_hard,2021-07-23 19:17:23,2021-07-23 19:22:46,e1da9ff,S256,18,16,16,32,,2000000,1M,47008,47008,0,1048576,1,,Pass,60,92.58,108.07
3329866,ior_hard,2021-07-23 20:13:09,2021-07-23 20:17:58,e1da9ff,EC_4P2GX,18,16,16,32,,2000000,4M,47008,47008,2,1048576,1,,Pass,60,17.89,93.23
3329889,ior_hard,2021-07-23 20:20:46,2021-07-23 20:25:23,e1da9ff,EC_16P2GX,18,16,16,32,,2000000,16M,47008,47008,2,1048576,1,,Pass,60,8.46,72.74
3341210,ior_hard,2021-07-26 14:52:00,2021-07-26 14:57:17,e1da9ff,S256,20,16,16,32,,2000000,1M,47008,47008,0,1048576,1,,Pass,60,96.88,117.67
3341270,ior_hard,2021-07-26 15:02:28,2021-07-26 15:07:16,e1da9ff,EC_8P2GX,20,16,16,32,,2000000,8M,47008,47008,2,1048576,1,,Pass,60,16.43,91.53
3341281,ior_hard,2021-07-26 15:02:28,2021-07-26 15:07:20,e1da9ff,EC_4P2GX,24,16,16,32,,2000000,4M,47008,47008,2,1048576,1,,Pass,60,25.29,99.92
