slurm_job_id,test_case,start_time,end_time,daos_commit,oclass,dir_oclass,num_servers,num_clients,ppc,notes,status,sw_time,n_file,chunk_size,bytes_read,bytes_write,tree_depth,create_kops,stat_kops,read_kops,remove_kops
3237576,mdtest_easy,2021-07-06 15:59:46,2021-07-06 16:06:25,5628567,EC_2P1G1,EC_2P1GX,8,16,32,,Pass,60,1000000,1048576,0,0,0,284.22,1726.57,2743.17,219.71
3238237,mdtest_easy,2021-07-06 17:04:08,2021-07-06 17:12:20,5628567,EC_4P1G1,EC_4P1GX,8,16,32,,Pass,60,1000000,1048576,0,0,0,268.29,1468.71,2129.63,98.92
3238305,mdtest_easy,2021-07-06 17:06:06,2021-07-06 17:16:59,5628567,S1,SX,8,16,32,,Pass,60,1000000,1048576,0,0,0,3198.64,4703.29,6302.18,1208.91
3238228,mdtest_easy,2021-07-06 17:01:41,2021-07-06 17:07:53,5628567,EC_2P1G1,EC_2P1GX,16,16,32,,Pass,60,1000000,1048576,0,0,0,313.71,2578.46,5217.98,430.48
3238230,mdtest_easy,2021-07-06 17:01:41,2021-07-06 17:08:35,5628567,EC_4P1G1,EC_4P1GX,16,16,32,,Pass,60,1000000,1048576,0,0,0,312.59,2222.52,4148.07,208.56
3238303,mdtest_easy,2021-07-06 17:06:06,2021-07-06 17:20:13,5628567,S1,SX,16,16,32,,Pass,60,1000000,1048576,0,0,0,5026.68,6000.97,9384.67,1462.98
