slurm_job_id,test_case,start_time,end_time,daos_commit,oclass,dir_oclass,num_servers,num_clients,ppc,notes,status,sw_time,n_file,chunk_size,bytes_read,bytes_write,tree_depth,create_kops,stat_kops,read_kops,remove_kops
3087314,mdtest_easy_1to4_s1,2021-06-10 15:40:59,2021-06-10 15:48:23,cf0db85,S1,SX,1,4,32,,Pass,60,300000,1048576,0,0,0,268.29,418.95,619.79,149.37
3087304,mdtest_easy_1to4_s1,2021-06-10 16:30:42,2021-06-10 16:38:33,cf0db85,S1,SX,2,8,32,,Pass,60,300000,1048576,0,0,0,521.08,815.94,1210.62,293.85
3087306,mdtest_easy_1to4_s1,2021-06-10 16:32:19,2021-06-10 16:40:47,cf0db85,S1,SX,4,16,32,,Pass,60,300000,1048576,0,0,0,1010.72,1487.01,2188.25,554.67
3087303,mdtest_hard_1to4_s1,2021-06-10 13:56:15,2021-06-10 14:02:32,cf0db85,S1,SX,1,4,32,,Pass,60,200000,1048576,3901,3901,,87.00,243.06,159.56,144.57
3087309,mdtest_hard_1to4_s1,2021-06-10 16:32:19,2021-06-10 16:38:38,cf0db85,S1,SX,2,8,32,,Pass,60,200000,1048576,3901,3901,0/20,161.51,415.65,268.28,284.13
3087307,mdtest_hard_1to4_s1,2021-06-10 16:32:19,2021-06-10 16:38:58,cf0db85,S1,SX,4,16,32,,Pass,60,200000,1048576,3901,3901,0/20,273.06,669.66,421.97,526.52
