slurm_job_id,test_case,start_time,end_time,daos_commit,num_servers,num_clients,num_targets,ppc,num_pools,pool_size,rebuild_kill_time,rebuild_down_time,rebuild_queued_time,rebuild_completed_time,status,notes
3237202,rebuild_pool_multi,2021-07-06 15:28:07,2021-07-06 15:34:08,238c3ca,8,1,16,32,10,256MiB,2021-07-06 15:29:57,2021-07-06 15:30:06,2021-07-06 15:30:06,2021-07-06 15:30:13,Pass,
3237532,rebuild_pool_multi,2021-07-06 15:53:09,2021-07-06 15:58:59,238c3ca,8,1,16,32,10,256MiB,2021-07-06 15:54:50,2021-07-06 15:54:59,2021-07-06 15:55:04,2021-07-06 15:55:13,Pass,
3237535,rebuild_pool_multi,2021-07-06 15:48:44,2021-07-06 15:54:35,238c3ca,8,1,16,32,10,256MiB,2021-07-06 15:50:25,2021-07-06 15:50:35,2021-07-06 15:50:40,2021-07-06 15:50:48,Pass,
3237536,rebuild_pool_multi,2021-07-06 15:53:09,2021-07-06 15:58:59,238c3ca,8,1,16,32,10,256MiB,2021-07-06 15:54:50,2021-07-06 15:55:00,2021-07-06 15:55:05,2021-07-06 15:55:13,Pass,
3243929,rebuild_pool_multi,2021-07-07 09:42:21,2021-07-07 09:49:19,238c3ca,16,1,16,32,20,256MiB,2021-07-07 09:44:43,2021-07-07 09:44:53,2021-07-07 09:44:53,2021-07-07 09:44:59,Pass,
3244022,rebuild_pool_multi,2021-07-07 09:55:31,2021-07-07 10:05:04,238c3ca,16,1,16,32,50,256MiB,2021-07-07 09:59:02,2021-07-07 09:59:12,2021-07-07 09:59:12,2021-07-07 09:59:18,Pass,
3244172,rebuild_pool_multi,2021-07-07 10:14:20,2021-07-07 10:23:44,238c3ca,32,1,16,32,50,256MiB,2021-07-07 10:17:50,2021-07-07 10:18:00,2021-07-07 10:18:00,2021-07-07 10:18:07,Pass,
3244225,rebuild_pool_multi,2021-07-07 10:33:14,2021-07-07 10:42:45,238c3ca,64,1,16,32,50,256MiB,2021-07-07 10:36:44,2021-07-07 10:36:54,2021-07-07 10:36:55,2021-07-07 10:36:59,Pass,
