slurm_job_id,test_case,start_time,end_time,daos_commit,oclass,num_servers,num_targets,num_clients,ppc,fpp,segments,xfer_size,block_size,chunk_size,ec_cell_size,iterations,notes,status,sw_time,write_gib,read_gib
4243948,ior_easy,2022-04-15 15:18:43,2022-04-15 15:23:34,7eb7fd4,EC_16P2GX,36,16,16,32,,1,16M,150G,16M,131072,1,,Pass,60,157.62,116.07
4244017,ior_easy,2022-04-15 16:23:42,2022-04-15 16:28:28,7eb7fd4,EC_4P2GX,36,16,16,32,,1,4M,150G,4M,131072,1,,Pass,60,117.60,131.32
4237724,ior_easy,2022-04-13 19:26:21,2022-04-13 19:31:16,7eb7fd4,SX,64,16,16,32,,1,1M,150G,1M,,1,,Pass,60,174.93,147.57
4239827,ior_easy,2022-04-15 04:50:35,2022-04-15 04:57:27,7eb7fd4,SX,128,16,256,8,,1,1M,150G,1M,,1,,Pass,60,724.42,750.97
4243958,ior_easy,2022-04-15 15:39:38,2022-04-15 15:44:45,7eb7fd4,SX,128,16,16,32,,1,1M,150G,1M,,1,,Pass,60,167.20,152.73
4237726,ior_hard,2022-04-13 21:57:57,2022-04-13 22:02:44,7eb7fd4,SX,1,16,4,32,,10000000,47008,47008,470080,,1,,Pass,60,11.16,11.31
4237731,ior_hard,2022-04-13 23:29:25,2022-04-13 23:34:18,7eb7fd4,SX,1,16,16,32,,10000000,47008,47008,470080,,1,,Pass,60,10.04,11.19
4237727,ior_hard,2022-04-13 22:03:45,2022-04-13 22:09:01,7eb7fd4,SX,2,16,8,32,,10000000,47008,47008,470080,,1,,Pass,60,21.65,22.33
4237732,ior_hard,2022-04-13 23:35:37,2022-04-13 23:40:58,7eb7fd4,SX,2,16,16,32,,10000000,47008,47008,470080,,1,,Pass,60,19.94,22.30
4239749,ior_hard,2022-04-14 11:53:31,2022-04-14 11:57:31,7eb7fd4,EC_2P1GX,3,16,12,32,,2000000,47008,47008,470080,131072,1,,Pass,60,9.29,27.28
4239752,ior_hard,2022-04-14 12:19:45,2022-04-14 12:23:57,7eb7fd4,EC_2P1GX,3,16,16,32,,2000000,47008,47008,470080,131072,1,,Pass,60,8.80,26.13
4237728,ior_hard,2022-04-13 22:27:20,2022-04-13 22:33:00,7eb7fd4,SX,4,16,16,32,,10000000,47008,47008,470080,,1,,Pass,60,40.89,44.05
4239750,ior_hard,2022-04-14 11:59:16,2022-04-14 12:03:29,7eb7fd4,EC_2P1GX,6,16,24,32,,2000000,47008,47008,470080,131072,1,,Pass,60,15.93,45.86
4239753,ior_hard,2022-04-14 12:28:28,2022-04-14 12:32:40,7eb7fd4,EC_2P1GX,6,16,16,32,,2000000,47008,47008,470080,131072,1,,Pass,60,17.25,52.03
4239757,ior_hard,2022-04-14 12:50:56,2022-04-14 12:55:02,7eb7fd4,EC_4P2GX,6,16,24,32,,2000000,47008,47008,564096,131072,1,,Pass,60,8.37,49.95
4239759,ior_hard,2022-04-14 13:02:09,2022-04-14 13:06:05,7eb7fd4,EC_4P2GX,6,16,16,32,,2000000,47008,47008,564096,131072,1,,Pass,60,9.09,48.69
4237729,ior_hard,2022-04-13 23:07:50,2022-04-13 23:13:59,7eb7fd4,SX,8,16,32,32,,10000000,47008,47008,470080,,1,,Pass,60,75.75,84.95
