slurm_job_id,test_case,start_time,end_time,daos_commit,oclass,num_servers,num_targets,num_clients,ppc,fpp,segments,xfer_size,block_size,chunk_size,ec_cell_size,iterations,notes,status,sw_time,write_gib,read_gib
3632685,ior_easy,2021-10-14 11:19:48,2021-10-14 11:28:07,fdf9d73,SX,1,16,16,32,,1,1M,150G,1M,1048576,1,,Pass,60,11.44,11.40
3632700,ior_easy,2021-10-14 10:55:59,2021-10-14 11:01:47,fdf9d73,SX,1,16,4,32,,1,1M,150G,1M,1048576,1,,Pass,60,11.33,11.40
3632674,ior_easy,2021-10-14 11:12:56,2021-10-14 11:19:59,fdf9d73,SX,2,16,16,32,,1,1M,150G,1M,1048576,1,,Pass,60,22.04,22.76
3632683,ior_easy,2021-10-14 10:55:59,2021-10-14 11:01:57,fdf9d73,SX,2,16,8,32,,1,1M,150G,1M,1048576,1,,Pass,60,21.77,22.74
3632985,ior_easy,2021-10-14 13:28:27,2021-10-14 13:33:23,fdf9d73,RP_2GX,2,16,16,32,,1,1M,150G,1M,1048576,1,,Pass,60,10.79,22.50
3633002,ior_easy,2021-10-14 12:20:16,2021-10-14 12:25:20,fdf9d73,RP_2GX,2,16,8,32,,1,1M,150G,1M,1048576,1,,Pass,60,10.63,22.66
3633261,ior_easy,2021-10-14 13:43:58,2021-10-14 13:52:31,fdf9d73,S32,3,16,16,32,,1,2M,150G,1M,1048576,1,,Pass,60,32.33,33.03
3633264,ior_easy,2021-10-14 14:38:43,2021-10-14 14:44:41,fdf9d73,EC_2P1GX,3,16,16,32,,1,2M,150G,2M,1048576,1,,Pass,60,21.64,28.06
3633268,ior_easy,2021-10-14 14:38:43,2021-10-14 14:45:56,fdf9d73,S32,3,16,12,32,,1,2M,150G,1M,1048576,1,,Pass,60,32.14,31.32
3633280,ior_easy,2021-10-14 14:38:43,2021-10-14 14:44:36,fdf9d73,EC_2P1GX,3,16,12,32,,1,2M,150G,2M,1048576,1,,Pass,60,21.07,33.01
3632697,ior_easy,2021-10-14 11:22:08,2021-10-14 11:28:02,fdf9d73,SX,4,16,16,32,,1,1M,150G,1M,1048576,1,,Pass,60,42.51,45.25
3632998,ior_easy,2021-10-14 14:36:40,2021-10-14 14:42:27,fdf9d73,RP_2GX,4,16,16,32,,1,1M,150G,1M,1048576,1,,Pass,60,20.97,44.45
3633003,ior_easy,2021-10-14 15:01:37,2021-10-14 15:06:21,fdf9d73,RP_3GX,4,16,16,32,,1,1M,150G,1M,1048576,1,,Pass,60,13.58,41.71
3633273,ior_easy,2021-10-14 15:23:25,2021-10-14 15:29:59,fdf9d73,S64,6,16,12,32,,1,2M,150G,1M,1048576,1,,Pass,60,58.66,65.57
3633281,ior_easy,2021-10-14 15:34:09,2021-10-14 15:40:53,fdf9d73,EC_2P1GX,6,16,12,32,,1,2M,150G,2M,1048576,1,,Pass,60,39.99,51.52
3633288,ior_easy,2021-10-14 15:59:38,2021-10-14 16:06:19,fdf9d73,EC_2P1GX,6,16,16,32,,1,2M,150G,2M,1048576,1,,Pass,60,37.76,51.04
3633289,ior_easy,2021-10-14 16:09:40,2021-10-14 16:17:17,fdf9d73,S64,6,16,16,32,,1,2M,150G,1M,1048576,1,,Pass,60,60.27,65.04
3633785,ior_easy,2021-10-14 17:30:50,2021-10-14 17:37:17,fdf9d73,EC_4P2GX,6,16,16,32,,1,4M,150G,4M,1048576,1,,Pass,60,42.19,56.19
3633810,ior_easy,2021-10-14 20:09:33,2021-10-14 20:16:13,fdf9d73,S64,6,16,12,32,,1,4M,150G,1M,1048576,1,,Pass,60,55.87,65.62
3633815,ior_easy,2021-10-14 21:47:06,2021-10-14 21:53:32,fdf9d73,EC_4P2GX,6,16,12,32,,1,4M,150G,4M,1048576,1,,Pass,60,41.59,60.76
3633831,ior_easy,2021-10-15 01:16:25,2021-10-15 01:24:02,fdf9d73,S64,6,16,16,32,,1,4M,150G,1M,1048576,1,,Pass,60,60.62,65.99
3632689,ior_easy,2021-10-14 11:31:40,2021-10-14 11:38:34,fdf9d73,SX,8,16,16,32,,1,1M,150G,1M,1048576,1,,Pass,60,73.37,89.05
3632694,ior_easy,2021-10-14 11:40:43,2021-10-14 11:48:09,fdf9d73,SX,8,16,32,32,,1,1M,150G,1M,1048576,1,,Pass,60,82.25,89.26
3632963,ior_easy,2021-10-14 13:28:27,2021-10-14 13:34:38,fdf9d73,RP_2GX,8,16,16,32,,1,1M,150G,1M,1048576,1,,Pass,60,38.37,89.16
3632972,ior_easy,2021-10-14 14:06:22,2021-10-14 14:11:40,fdf9d73,RP_3GX,8,16,32,32,,1,1M,150G,1M,1048576,1,,Pass,60,25.37,77.46
3632977,ior_easy,2021-10-14 14:30:51,2021-10-14 14:37:59,fdf9d73,RP_2GX,8,16,32,32,,1,1M,150G,1M,1048576,1,,Pass,60,42.07,89.31
3632988,ior_easy,2021-10-14 14:49:41,2021-10-14 14:55:18,fdf9d73,RP_3GX,8,16,16,32,,1,1M,150G,1M,1048576,1,,Pass,60,24.49,77.03
3634250,ior_easy,2021-10-15 05:22:13,2021-10-15 05:24:44,fdf9d73,S128,10,16,16,32,,1,8M,150G,1M,1048576,1,"write failed,read failed",Fail,60,0.00,0.00
3634267,ior_easy,2021-10-15 06:49:10,2021-10-15 06:55:24,fdf9d73,EC_8P2GX,10,16,16,32,,1,8M,150G,8M,1048576,1,,Pass,60,74.31,95.60
3633257,ior_easy,2021-10-14 15:13:53,2021-10-14 15:20:28,fdf9d73,S128,12,16,16,32,,1,2M,150G,1M,1048576,1,,Pass,60,99.47,128.21
3633285,ior_easy,2021-10-14 15:25:46,2021-10-14 15:32:17,fdf9d73,EC_2P1GX,12,16,16,32,,1,2M,150G,2M,1048576,1,,Pass,60,76.14,110.83
3633824,ior_easy,2021-10-15 04:28:16,2021-10-15 04:35:06,fdf9d73,S128,12,16,16,32,,1,4M,150G,1M,1048576,1,,Pass,60,97.66,97.36
3633825,ior_easy,2021-10-15 04:33:02,2021-10-15 04:39:38,fdf9d73,EC_4P2GX,12,16,16,32,,1,4M,150G,4M,1048576,1,,Pass,60,69.35,100.77
3632678,ior_easy,2021-10-14 11:22:08,2021-10-14 11:28:32,fdf9d73,SX,16,16,16,32,,1,1M,150G,1M,1048576,1,,Pass,60,129.98,136.33
3632970,ior_easy,2021-10-14 14:04:44,2021-10-14 14:09:42,fdf9d73,RP_3GX,16,16,16,32,,1,1M,150G,1M,1048576,1,,Pass,60,44.32,136.27
3632976,ior_easy,2021-10-14 14:06:22,2021-10-14 14:12:16,fdf9d73,RP_2GX,16,16,16,32,,1,1M,150G,1M,1048576,1,,Pass,60,47.43,151.34
3633266,ior_easy,2021-10-14 15:16:13,2021-10-14 15:22:17,fdf9d73,EC_2P1GX,18,16,16,32,,1,2M,150G,2M,1048576,1,,Pass,60,103.76,124.16
3633276,ior_easy,2021-10-14 15:23:25,2021-10-14 15:29:23,fdf9d73,S192,18,16,16,32,,1,2M,150G,1M,1048576,1,,Pass,60,147.61,145.71
3633786,ior_easy,2021-10-14 21:06:48,2021-10-14 21:13:06,fdf9d73,S192,18,16,16,32,,1,4M,150G,1M,1048576,1,,Pass,60,153.28,155.01
3633788,ior_easy,2021-10-14 21:18:56,2021-10-14 21:25:08,fdf9d73,EC_4P2GX,18,16,16,32,,1,4M,150G,4M,1048576,1,,Pass,60,114.30,97.70
3634247,ior_easy,2021-10-15 05:24:10,2021-10-15 05:26:41,fdf9d73,S256,18,16,16,32,,1,16M,150G,1M,1048576,1,"write failed,read failed",Fail,60,0.00,0.00
