slurm_job_id,test_case,start_time,end_time,daos_commit,oclass,num_servers,num_targets,num_clients,ppc,fpp,segments,xfer_size,block_size,chunk_size,ec_cell_size,iterations,notes,status,sw_time,write_gib,read_gib
3461630,ior_easy,2021-08-26 21:14:07,2021-08-26 21:22:14,0a73d3e,SX,1,16,16,32,,1,1M,150G,1M,1048576,1,,Pass,60,11.37,11.38
3461656,ior_easy,2021-08-26 18:46:13,2021-08-26 18:52:55,0a73d3e,SX,1,16,4,32,,1,1M,150G,1M,1048576,1,,Pass,60,11.19,11.29
3461629,ior_easy,2021-08-26 20:55:51,2021-08-26 21:02:46,0a73d3e,SX,2,16,16,32,,1,1M,150G,1M,1048576,1,,Pass,60,21.70,22.43
3461642,ior_easy,2021-08-26 19:20:12,2021-08-26 19:27:40,0a73d3e,SX,2,16,8,32,,1,1M,150G,1M,1048576,1,,Pass,60,21.75,22.68
3479576,ior_easy,2021-09-02 01:29:34,2021-09-02 01:33:40,0a73d3e,RP_2GX,2,16,16,32,,1,1M,150G,1M,1M,1,,Pass,30,10.43,21.85
3479591,ior_easy,2021-09-01 19:25:17,2021-09-01 19:29:27,0a73d3e,RP_2GX,2,16,8,32,,1,1M,150G,1M,1M,1,,Pass,30,10.68,22.24
3471038,ior_easy,2021-08-30 18:46:12,2021-08-30 18:51:52,0a73d3e,EC_2P1GX,3,16,12,32,,1,2M,150G,2M,1M,1,,Pass,60,21.24,33.02
3471040,ior_easy,2021-08-30 18:46:11,2021-08-30 18:52:12,0a73d3e,EC_2P1GX,3,16,16,32,,1,2M,150G,2M,1M,1,,Pass,60,20.64,27.96
3471044,ior_easy,2021-08-30 18:51:26,2021-08-30 18:58:38,0a73d3e,S32,3,16,16,32,,1,2M,150G,1M,1M,1,,Pass,60,32.23,30.80
3471045,ior_easy,2021-08-30 18:51:26,2021-08-30 18:58:03,0a73d3e,S32,3,16,12,32,,1,2M,150G,1M,1M,1,,Pass,60,31.79,33.02
3461653,ior_easy,2021-08-26 22:50:59,2021-08-26 22:58:32,0a73d3e,SX,4,16,16,32,,1,1M,150G,1M,1048576,1,,Pass,60,41.97,44.83
3479562,ior_easy,2021-09-01 21:51:04,2021-09-01 21:55:08,0a73d3e,RP_3GX,4,16,16,32,,1,1M,150G,1M,1M,1,,Pass,30,12.90,39.90
3479587,ior_easy,2021-09-02 02:04:52,2021-09-02 02:09:32,0a73d3e,RP_2GX,4,16,16,32,,1,1M,150G,1M,1M,1,,Pass,30,20.47,43.59
3479589,ior_easy,2021-09-02 02:07:10,2021-09-02 02:11:42,0a73d3e,RP_2GX,4,16,16,32,,1,1M,150G,1M,1M,1,,Pass,30,20.56,43.70
3471037,ior_easy,2021-08-30 18:46:11,2021-08-30 18:51:47,0a73d3e,EC_2P1GX,6,16,16,32,,1,2M,150G,2M,1M,1,,Pass,60,40.56,60.08
