slurm_job_id,test_case,start_time,end_time,daos_commit,oclass,dir_oclass,num_servers,num_targets,num_clients,ppc,notes,status,sw_time,n_file,chunk_size,bytes_read,bytes_write,tree_depth,create_kops,stat_kops,read_kops,remove_kops
3632668,mdtest_easy,2021-10-14 10:55:59,2021-10-14 11:02:29,fdf9d73,S1,SX,1,16,4,32,,Pass,60,1000000,1M,0,0,0,479.01,760.28,1143.89,292.06
3632691,mdtest_easy,2021-10-14 11:38:32,2021-10-14 11:45:42,fdf9d73,S1,SX,1,16,16,32,,Pass,60,1000000,1M,0,0,0,418.16,638.95,926.47,258.32
3632671,mdtest_easy,2021-10-14 10:55:59,2021-10-14 11:02:36,fdf9d73,S1,SX,2,16,8,32,,Pass,60,1000000,1M,0,0,0,927.09,1435.99,2174.89,564.45
3632673,mdtest_easy,2021-10-14 10:55:59,2021-10-14 11:02:50,fdf9d73,S1,SX,2,16,16,32,,Pass,60,1000000,1M,0,0,0,858.79,1292.94,1871.14,517.24
3632978,mdtest_easy,2021-10-14 11:43:12,2021-10-14 11:48:48,fdf9d73,RP_2G1,RP_2GX,2,16,8,32,,Pass,60,1000000,1M,0,0,0,212.49,1263.74,2116.51,130.53
3633000,mdtest_easy,2021-10-14 14:49:41,2021-10-14 14:55:14,fdf9d73,RP_2G1,RP_2GX,2,16,16,32,,Pass,60,1000000,1M,0,0,0,191.98,1047.63,1758.22,120.25
3633260,mdtest_easy,2021-10-14 14:38:43,2021-10-14 14:45:06,fdf9d73,S2,SX,3,16,12,32,sw=30s,Pass,30,1000000,1M,0,0,0,1331.21,1579.66,3158.33,304.52
3633299,mdtest_easy,2021-10-14 17:03:20,2021-10-14 17:07:52,fdf9d73,EC_2P1G1,RP_2GX,3,16,16,32,sw=30s,Pass,30,1000000,2M,0,0,0,282.92,1398.73,2627.29,140.86
3633300,mdtest_easy,2021-10-14 17:21:12,2021-10-14 17:27:39,fdf9d73,S2,SX,3,16,16,32,sw=30s,Pass,30,1000000,1M,0,0,0,1246.05,1498.67,2969.66,300.83
3633308,mdtest_easy,2021-10-14 15:52:24,2021-10-14 15:56:53,fdf9d73,EC_2P1G1,RP_2GX,3,16,12,32,sw=30s,Pass,30,1000000,2M,0,0,0,300.06,1547.11,2796.20,146.51
3632682,mdtest_easy,2021-10-14 11:22:08,2021-10-14 11:29:25,fdf9d73,S1,SX,4,16,16,32,,Pass,60,1000000,1M,0,0,0,1740.13,2668.46,4064.40,1062.25
3632966,mdtest_easy,2021-10-14 13:32:08,2021-10-14 13:37:23,fdf9d73,RP_3G1,RP_3GX,4,16,16,32,,Pass,60,1000000,1M,0,0,0,150.34,1472.03,2655.07,110.18
3632971,mdtest_easy,2021-10-14 13:39:02,2021-10-14 13:44:42,fdf9d73,RP_2G1,RP_2GX,4,16,16,32,,Pass,60,1000000,1M,0,0,0,382.71,2128.82,3691.65,239.91
3633256,mdtest_easy,2021-10-14 15:03:52,2021-10-14 15:10:34,fdf9d73,S2,SX,6,16,12,32,sw=30s,Pass,30,1000000,1M,0,0,0,2468.90,2884.95,5497.32,543.18
