slurm_job_id,test_case,start_time,end_time,daos_commit,oclass,dir_oclass,num_servers,num_targets,num_clients,ppc,notes,status,sw_time,n_file,chunk_size,bytes_read,bytes_write,create_kops,stat_kops,read_kops,remove_kops
3870062,mdtest_easy,2021-12-15 23:47:07,2021-12-15 23:53:37,efdf65b,S1,SX,1,16,4,32,,Pass,60,10000000,1M,0,0,506.33,729.61,1125.48,291.46
3870087,mdtest_easy,2021-12-16 01:21:21,2021-12-16 01:28:23,efdf65b,S1,SX,1,16,16,32,,Pass,60,10000000,1M,0,0,463.63,615.17,936.18,271.35
3870072,mdtest_easy,2021-12-16 00:17:09,2021-12-16 00:23:43,efdf65b,S1,SX,2,16,8,32,,Pass,60,10000000,1M,0,0,989.86,1397.25,2152.69,566.86
3870085,mdtest_easy,2021-12-16 01:22:47,2021-12-16 01:29:48,efdf65b,S1,SX,2,16,16,32,,Pass,60,10000000,1M,0,0,961.42,1250.19,1857.84,543.18
3867896,mdtest_easy,2021-12-15 12:49:14,2021-12-15 12:53:45,efdf65b,EC_2P1G1,RP_2GX,3,16,12,32,sw=30s,Pass,30,10000000,2M,0,0,275.49,1722.72,3028.66,129.90
3867897,mdtest_easy,2021-12-15 13:14:16,2021-12-15 13:20:45,efdf65b,S2,SX,3,16,16,32,sw=30s,Pass,30,10000000,1M,0,0,1438.98,1418.85,2925.94,297.73
3867898,mdtest_easy,2021-12-15 13:23:04,2021-12-15 13:29:20,efdf65b,S2,SX,3,16,12,32,sw=30s,Pass,30,10000000,1M,0,0,1446.85,1500.56,3051.90,304.00
3867908,mdtest_easy,2021-12-15 15:26:34,2021-12-15 15:31:17,efdf65b,EC_2P1G1,RP_2GX,3,16,16,32,sw=30s,Pass,30,10000000,2M,0,0,278.67,1583.40,2804.67,128.08
3870076,mdtest_easy,2021-12-16 01:18:30,2021-12-16 01:25:30,efdf65b,S1,SX,4,16,16,32,,Pass,60,10000000,1M,0,0,1902.47,2522.41,3920.94,1075.23
3867902,mdtest_easy,2021-12-15 16:36:35,2021-12-15 16:43:22,efdf65b,S2,SX,6,16,24,32,sw=30s,Pass,30,10000000,1M,0,0,2698.07,2632.54,5281.07,557.96
3867904,mdtest_easy,2021-12-15 17:06:25,2021-12-15 17:11:10,efdf65b,EC_2P1G1,RP_2GX,6,16,24,32,sw=30s,Pass,30,10000000,2M,0,0,509.09,2661.08,5292.69,240.75
3867907,mdtest_easy,2021-12-15 15:19:14,2021-12-15 15:23:45,efdf65b,EC_2P1G1,RP_2GX,6,16,16,32,sw=30s,Pass,30,10000000,2M,0,0,491.53,2952.86,5504.60,246.44
3867909,mdtest_easy,2021-12-15 17:38:30,2021-12-15 17:48:22,efdf65b,S4,SX,6,16,24,32,sw=30s,Pass,30,10000000,1M,0,0,2714.81,1795.63,5718.72,259.60
3867912,mdtest_easy,2021-12-15 15:40:54,2021-12-15 15:47:33,efdf65b,S2,SX,6,16,16,32,sw=30s,Pass,30,10000000,1M,0,0,2596.00,2770.25,5560.48,559.35
3867916,mdtest_easy,2021-12-15 17:10:09,2021-12-15 17:15:14,efdf65b,EC_4P2G1,RP_3GX,6,16,16,32,sw=30s,Pass,30,10000000,4M,0,0,327.61,2633.00,5508.88,123.72
