slurm_job_id,test_case,start_time,end_time,daos_commit,oclass,dir_oclass,num_servers,num_clients,ppc,notes,status,sw_time,n_file,chunk_size,bytes_read,bytes_write,tree_depth,create_kops,stat_kops,read_kops,remove_kops
3285944,mdtest_hard,2021-07-15 16:25:20,2021-07-15 16:29:55,e1da9ff,S1,SX,1,16,4,32,sw=40s,Pass,40,500000,1048576,3901,3901,0/20,146.18,406.58,266.17,279.28
3284960,mdtest_hard,2021-07-15 15:21:27,2021-07-15 15:28:44,e1da9ff,S1,SX,2,16,8,32,sw=50s,Pass,50,500000,1048576,3901,3901,0/20,100.14,641.34,425.17,360.29
3285945,mdtest_hard,2021-07-15 16:35:40,2021-07-15 16:41:00,e1da9ff,S1,SX,2,16,16,32,sw=40s,Pass,40,500000,1048576,3901,3901,0/20,248.72,631.01,412.15,484.33
3286347,mdtest_hard,2021-07-15 17:26:23,2021-07-15 17:30:42,e1da9ff,RP_2G1,RP_2GX,2,16,8,32,sw=30s,Pass,30,500000,1048576,3901,3901,0/20,89.82,729.61,505.74,121.85
3326824,mdtest_hard,2021-07-22 20:48:36,2021-07-22 20:54:42,e1da9ff,EC_2P1G1,RP_2GX,3,16,12,32,,Pass,60,1000000,2M,3901,3901,0/20,142.33,1071.87,615.64,128.26
3326829,mdtest_hard,2021-07-22 20:59:56,2021-07-22 21:06:11,e1da9ff,EC_2P1G1,RP_2GX,3,16,16,32,,Pass,60,1000000,2M,3901,3901,0/20,145.59,1028.48,610.20,125.11
3328147,mdtest_hard,2021-07-23 10:50:05,2021-07-23 10:56:50,e1da9ff,S2,SX,3,16,16,32,sw=50s,Pass,50,1000000,1M,3901,3901,0/20,346.11,680.02,534.04,254.16
3328148,mdtest_hard,2021-07-23 10:05:46,2021-07-23 10:13:14,e1da9ff,S2,SX,3,16,12,32,sw=50s,Pass,50,1000000,1M,3901,3901,0/20,207.04,684.71,535.37,248.14
3284962,mdtest_hard,2021-07-15 16:33:00,2021-07-15 16:39:34,e1da9ff,S1,SX,4,16,16,32,sw=50s,Pass,50,500000,1048576,3901,3901,0/20,450.83,970.29,636.72,687.24
3286349,mdtest_hard,2021-07-16 06:57:23,2021-07-16 07:01:44,e1da9ff,RP_3G1,RP_3GX,4,16,16,32,sw=30s,Pass,30,500000,1048576,3901,3901,0/20,104.62,1100.28,752.11,137.59
